time, Vcn, Von, VoVcn,
1.331793, 1.666113, 1.650806, -0.015308,
1.341895, 1.668530, 1.643555, -0.024976,
1.352096, 1.678198, 1.662891, -0.015308,
1.362196, 1.674170, 1.666919, -0.007251,
1.372339, 1.678198, 1.661279, -0.016919,
1.382462, 1.676587, 1.670142, -0.006445,
1.392577, 1.676587, 1.666113, -0.010474,
1.402796, 1.672559, 1.674976, 0.002417,
1.412676, 1.674170, 1.666113, -0.008057,
1.422800, 1.673364, 1.662085, -0.011279,
1.433094, 1.674976, 1.672559, -0.002417,
1.443157, 1.670142, 1.666919, -0.003223,
1.453349, 1.674170, 1.679004, 0.004834,
1.463388, 1.673364, 1.662891, -0.010474,
1.473475, 1.670142, 1.670947, 0.000806,
1.483351, 1.672559, 1.664502, -0.008057,
1.493426, 1.670142, 1.662085, -0.008057,
1.503581, 1.670947, 1.677393, 0.006445,
1.513465, 1.670142, 1.666919, -0.003223,
1.523577, 1.670142, 1.660474, -0.009668,
1.533795, 1.670947, 1.664502, -0.006445,
1.543890, 1.677393, 1.662085, -0.015308,
1.554042, 1.677393, 1.668530, -0.008862,
1.564272, 1.672559, 1.673364, 0.000806,
1.574218, 1.676587, 1.664502, -0.012085,
1.584346, 1.670142, 1.669336, -0.000806,
1.594467, 1.676587, 1.662891, -0.013696,
1.604677, 1.668530, 1.662085, -0.006445,
1.614798, 1.665308, 1.662085, -0.003223,
1.624973, 1.664502, 1.654028, -0.010474,
1.635140, 1.662085, 1.658057, -0.004028,
1.645250, 1.654028, 1.645166, -0.008862,
1.655454, 1.662891, 1.676587, 0.013696,
1.665459, 1.660474, 1.658057, -0.002417,
1.675685, 1.658057, 1.650806, -0.007251,
1.685822, 1.664502, 1.665308, 0.000806,
1.695693, 1.666919, 1.654834, -0.012085,
1.705897, 1.662891, 1.666113, 0.003223,
1.715765, 1.668530, 1.662891, -0.005640,
1.725893, 1.665308, 1.652417, -0.012891,
1.736121, 1.664502, 1.668530, 0.004028,
1.746009, 1.662085, 1.658862, -0.003223,
1.756237, 1.665308, 1.658862, -0.006445,
1.766559, 1.662891, 1.658862, -0.004028,
1.776702, 1.666113, 1.662085, -0.004028,
1.786788, 1.662085, 1.662891, 0.000806,
1.796588, 1.665308, 1.666113, 0.000806,
1.806463, 1.668530, 1.666113, -0.002417,
