time, Vcn, Von, VoVcn,
1.328667, 1.666919, 1.666113, -0.000806,
1.339027, 1.670947, 1.658862, -0.012085,
1.349125, 1.668530, 1.668530, 0.000000,
1.358105, 1.665308, 1.672559, 0.007251,
1.365343, 1.669336, 1.668530, -0.000806,
1.375461, 1.666919, 1.664502, -0.002417,
1.385667, 1.668530, 1.689478, 0.020947,
1.395555, 1.668530, 1.673364, 0.004834,
1.405338, 1.669336, 1.662085, -0.007251,
1.415430, 1.665308, 1.666919, 0.001611,
1.425222, 1.670142, 1.664502, -0.005640,
1.435440, 1.666919, 1.661279, -0.005640,
1.445563, 1.669336, 1.672559, 0.003223,
1.455449, 1.665308, 1.665308, 0.000000,
1.465332, 1.670142, 1.656445, -0.013696,
1.475446, 1.668530, 1.662085, -0.006445,
1.485654, 1.666919, 1.658862, -0.008057,
1.495781, 1.662085, 1.636304, -0.025781,
1.505999, 1.666919, 1.664502, -0.002417,
1.516004, 1.668530, 1.654028, -0.014502,
1.526124, 1.669336, 1.677393, 0.008057,
1.536033, 1.669336, 1.637915, -0.031421,
1.546123, 1.670142, 1.666113, -0.004028,
1.556331, 1.666919, 1.670142, 0.003223,
1.566226, 1.670142, 1.654028, -0.016113,
1.576341, 1.669336, 1.668530, -0.000806,
1.586458, 1.665308, 1.640332, -0.024976,
1.596552, 1.664502, 1.658862, -0.005640,
1.606779, 1.672559, 1.656445, -0.016113,
1.616885, 1.666919, 1.662085, -0.004834,
1.623216, 1.662891, 1.660474, -0.002417,
1.633436, 1.665308, 1.672559, 0.007251,
1.643433, 1.669336, 1.664502, -0.004834,
1.653565, 1.668530, 1.672559, 0.004028,
1.663522, 1.666919, 1.674170, 0.007251,
1.673343, 1.662891, 1.662085, -0.000806,
1.683557, 1.670142, 1.650000, -0.020142,
1.693675, 1.668530, 1.664502, -0.004028,
1.703801, 1.666919, 1.670142, 0.003223,
1.713775, 1.666919, 1.665308, -0.001611,
1.723888, 1.666919, 1.654834, -0.012085,
1.734124, 1.670142, 1.662085, -0.008057,
1.744338, 1.668530, 1.673364, 0.004834,
1.754225, 1.669336, 1.665308, -0.004028,
1.764343, 1.669336, 1.658057, -0.011279,
1.774443, 1.674170, 1.662891, -0.011279,
1.784669, 1.664502, 1.648389, -0.016113,
1.794790, 1.669336, 1.672559, 0.003223,
1.804576, 1.670142, 1.670142, 0.000000,
1.814459, 1.670947, 1.670142, -0.000806,
1.824557, 1.661279, 1.662085, 0.000806,
1.834664, 1.662085, 1.660474, -0.001611,
1.844889, 1.668530, 1.670142, 0.001611,
1.854792, 1.670142, 1.670142, 0.000000,
1.864672, 1.672559, 1.662085, -0.010474,
1.874788, 1.668530, 1.664502, -0.004028,
1.884999, 1.666919, 1.662085, -0.004834,
1.895113, 1.669336, 1.662085, -0.007251,
1.905209, 1.669336, 1.664502, -0.004834,
1.915307, 1.666919, 1.674976, 0.008057,
1.925128, 1.664502, 1.653223, -0.011279,
1.935343, 1.666919, 1.652417, -0.014502,
1.945554, 1.666919, 1.664502, -0.002417,
1.955739, 1.666919, 1.662085, -0.004834,
1.965806, 1.668530, 1.661279, -0.007251,
1.975890, 1.666113, 1.665308, -0.000806,
1.985997, 1.666919, 1.672559, 0.005640,
1.995791, 1.668530, 1.689478, 0.020947,
2.005757, 1.668530, 1.665308, -0.003223,
2.015789, 1.668530, 1.658862, -0.009668,
2.025945, 1.666919, 1.666919, 0.000000,
2.035895, 1.668530, 1.641138, -0.027393,
2.046121, 1.666919, 1.672559, 0.005640,
2.056015, 1.669336, 1.685449, 0.016113,
2.065886, 1.669336, 1.657251, -0.012085,
2.076008, 1.669336, 1.662085, -0.007251,
2.086234, 1.664502, 1.670142, 0.005640,
2.096142, 1.670142, 1.657251, -0.012891,
2.106333, 1.670947, 1.649194, -0.021753,
2.116445, 1.673364, 1.666113, -0.007251,
2.126662, 1.668530, 1.661279, -0.007251,
2.136983, 1.668530, 1.650806, -0.017725,
2.147108, 1.669336, 1.670142, 0.000806,
2.157004, 1.665308, 1.679810, 0.014502,
2.166894, 1.668530, 1.668530, 0.000000,
2.176790, 1.670947, 1.676587, 0.005640,
2.186784, 1.668530, 1.661279, -0.007251,
2.196897, 1.669336, 1.679810, 0.010474,
2.206861, 1.670142, 1.660474, -0.009668,
2.216890, 1.670142, 1.654834, -0.015308,
2.227119, 1.666919, 1.670142, 0.003223,
2.237198, 1.670142, 1.686255, 0.016113,
2.247008, 1.668530, 1.666113, -0.002417,
2.257221, 1.662891, 1.661279, -0.001611,
2.267355, 1.668530, 1.654834, -0.013696,
2.277446, 1.670142, 1.664502, -0.005640,
2.287565, 1.662085, 1.662085, 0.000000,
2.297455, 1.668530, 1.665308, -0.003223,
2.307676, 1.666113, 1.662085, -0.004028,
2.317792, 1.664502, 1.658862, -0.005640,
2.328009, 1.662085, 1.666919, 0.004834,
2.338166, 1.670142, 1.664502, -0.005640,
2.348229, 1.669336, 1.637915, -0.031421,
2.358439, 1.668530, 1.658057, -0.010474,
2.368577, 1.669336, 1.665308, -0.004028,
2.378671, 1.668530, 1.674976, 0.006445,
2.388555, 1.668530, 1.645166, -0.023364,
2.398668, 1.670142, 1.666919, -0.003223,
2.408787, 1.664502, 1.670947, 0.006445,
2.418682, 1.664502, 1.662085, -0.002417,
2.428904, 1.665308, 1.665308, 0.000000,
2.439009, 1.670947, 1.660474, -0.010474,
2.449125, 1.668530, 1.652417, -0.016113,
2.459230, 1.670947, 1.673364, 0.002417,
2.469178, 1.670142, 1.670947, 0.000806,
2.479008, 1.669336, 1.666113, -0.003223,
2.489148, 1.666919, 1.674170, 0.007251,
2.499012, 1.662085, 1.654834, -0.007251,
2.509221, 1.662085, 1.690283, 0.028198,
2.519011, 1.668530, 1.650000, -0.018530,
2.529218, 1.668530, 1.650806, -0.017725,
2.539446, 1.670142, 1.657251, -0.012891,
2.549568, 1.666919, 1.658862, -0.008057,
2.559787, 1.661279, 1.669336, 0.008057,
2.569717, 1.668530, 1.657251, -0.011279,
2.579791, 1.670142, 1.657251, -0.012891,
2.589923, 1.665308, 1.640332, -0.024976,
2.600006, 1.666113, 1.670142, 0.004028,
2.609904, 1.658862, 1.656445, -0.002417,
2.620033, 1.662891, 1.654028, -0.008862,
2.630237, 1.668530, 1.666919, -0.001611,
2.640532, 1.668530, 1.658862, -0.009668,
2.650567, 1.670947, 1.650806, -0.020142,
2.660740, 1.666919, 1.664502, -0.002417,
2.670792, 1.666919, 1.664502, -0.002417,
2.680976, 1.670142, 1.657251, -0.012891,
2.691014, 1.669336, 1.652417, -0.016919,
2.701126, 1.670142, 1.657251, -0.012891,
2.711245, 1.668530, 1.678198, 0.009668,
2.721118, 1.664502, 1.664502, 0.000000,
2.731119, 1.662085, 1.661279, -0.000806,
2.741352, 1.668530, 1.668530, 0.000000,
2.751255, 1.670142, 1.660474, -0.009668,
2.761444, 1.666919, 1.666113, -0.000806,
2.771567, 1.666919, 1.672559, 0.005640,
2.781560, 1.666113, 1.666919, 0.000806,
2.791442, 1.670947, 1.666113, -0.004834,
2.801559, 1.670142, 1.662891, -0.007251,
2.811716, 1.670142, 1.670142, 0.000000,
2.821572, 1.668530, 1.662085, -0.006445,
2.831863, 1.666113, 1.662085, -0.004028,
2.842008, 1.668530, 1.664502, -0.004028,
2.852129, 1.668530, 1.669336, 0.000806,
2.862008, 1.664502, 1.690283, 0.025781,
2.871888, 1.670142, 1.645166, -0.024976,
2.882119, 1.664502, 1.662891, -0.001611,
2.892141, 1.665308, 1.662891, -0.002417,
2.902228, 1.668530, 1.653223, -0.015308,
2.912342, 1.669336, 1.645972, -0.023364,
2.922445, 1.672559, 1.658057, -0.014502,
2.932761, 1.668530, 1.661279, -0.007251,
2.942914, 1.666919, 1.672559, 0.005640,
2.952797, 1.670142, 1.658057, -0.012085,
2.963010, 1.665308, 1.653223, -0.012085,
