Cx20000,cmd: Cx20000
 Number of samples           0 ->          0,      uintl (  Cx)
 Number of samples           0 ->      20000,      uintl (  Cx)
unit_x, time, Vcn, Von, VoVcn,
x_unit, 0.000000, 1.674976, 1.728149, 0.053174,
x_unit, 0.012347, 1.674170, 1.726538, 0.052368,
x_unit, 0.024538, 1.670142, 1.711230, 0.041089,
x_unit, 0.036797, 1.674170, 1.735400, 0.061230,
x_unit, 0.048899, 1.677393, 1.720898, 0.043506,
x_unit, 0.061071, 1.678198, 1.715259, 0.037060,
x_unit, 0.073346, 1.677393, 1.724121, 0.046728,
x_unit, 0.085589, 1.677393, 1.727344, 0.049951,
x_unit, 0.097814, 1.670947, 1.741846, 0.070899,
x_unit, 0.110071, 1.674170, 1.691089, 0.016919,
x_unit, 0.122235, 1.677393, 1.728955, 0.051562,
x_unit, 0.134661, 1.677393, 1.732178, 0.054785,
x_unit, 0.146795, 1.673364, 1.720898, 0.047534,
x_unit, 0.159049, 1.674976, 1.728955, 0.053980,
x_unit, 0.171292, 1.674170, 1.732983, 0.058813,
x_unit, 0.183569, 1.674976, 1.712036, 0.037061,
x_unit, 0.195772, 1.676587, 1.728149, 0.051563,
x_unit, 0.208019, 1.673364, 1.733789, 0.060425,
x_unit, 0.220162, 1.678198, 1.720898, 0.042700,
x_unit, 0.232520, 1.674976, 1.724927, 0.049951,
x_unit, 0.244675, 1.673364, 1.714453, 0.041089,
x_unit, 0.256894, 1.670947, 1.716870, 0.045923,
x_unit, 0.262709, 1.676587, 1.731372, 0.054785,
x_unit, 0.274600, 1.674170, 1.720898, 0.046728,
x_unit, 0.286841, 1.674170, 1.720093, 0.045923,
x_unit, 0.299067, 1.670947, 1.724927, 0.053980,
x_unit, 0.311289, 1.674170, 1.726538, 0.052368,
x_unit, 0.323452, 1.673364, 1.745874, 0.072510,
x_unit, 0.335803, 1.673364, 1.715259, 0.041894,
x_unit, 0.347964, 1.669336, 1.718481, 0.049145,
x_unit, 0.360163, 1.673364, 1.728955, 0.055591,
x_unit, 0.372364, 1.668530, 1.720898, 0.052368,
x_unit, 0.384617, 1.668530, 1.727344, 0.058813,
x_unit, 0.396917, 1.666919, 1.711230, 0.044312,
x_unit, 0.409133, 1.668530, 1.710425, 0.041895,
x_unit, 0.421286, 1.666113, 1.735400, 0.069287,
x_unit, 0.433678, 1.668530, 1.728149, 0.059619,
x_unit, 0.445840, 1.670142, 1.718481, 0.048340,
x_unit, 0.458066, 1.666113, 1.716064, 0.049951,
x_unit, 0.470276, 1.669336, 1.720898, 0.051562,
x_unit, 0.482568, 1.666113, 1.733789, 0.067676,
x_unit, 0.494748, 1.669336, 1.716064, 0.046728,
x_unit, 0.506994, 1.668530, 1.714453, 0.045923,
x_unit, 0.519148, 1.668530, 1.706396, 0.037866,
x_unit, 0.531500, 1.669336, 1.720093, 0.050757,
x_unit, 0.543707, 1.669336, 1.687866, 0.018530,
x_unit, 0.555910, 1.668530, 1.719287, 0.050757,
x_unit, 0.568074, 1.670142, 1.731372, 0.061230,
x_unit, 0.580411, 1.668530, 1.724121, 0.055591,
x_unit, 0.592674, 1.668530, 1.719287, 0.050757,
x_unit, 0.604901, 1.668530, 1.723315, 0.054785,
x_unit, 0.617050, 1.668530, 1.714453, 0.045923,
x_unit, 0.629388, 1.670142, 1.749097, 0.078955,
x_unit, 0.641495, 1.669336, 1.708813, 0.039477,
x_unit, 0.653801, 1.670947, 1.722510, 0.051563,
x_unit, 0.665926, 1.681421, 1.719287, 0.037866,
x_unit, 0.678180, 1.677393, 1.749902, 0.072510,
x_unit, 0.690390, 1.677393, 1.749097, 0.071704,
