=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.12.14 18:16:06 =~=~=~=~=~=~=~=~=~=~=~=
************************************************************...temp init complete
Cx9000,cmd: Cx9000
 Number of samples           0 ->          0,      uintl (  Cx)
 Number of samples           0 ->       9000,      uintl (  Cx)
unit_x, time, Von,
x_unit, 1.385820, 1.525928,
x_unit, 1.392773, 1.529150,
x_unit, 1.400459, 1.529150,
x_unit, 1.407447, 1.529956,
x_unit, 1.414508, 1.529150,
x_unit, 1.421436, 1.521899,
x_unit, 1.428378, 1.527539,
x_unit, 1.435343, 1.529150,
x_unit, 1.442386, 1.525928,
x_unit, 1.449373, 1.521094,
x_unit, 1.456331, 1.529956,
x_unit, 1.463380, 1.529150,
x_unit, 1.470468, 1.524316,
x_unit, 1.477429, 1.525122,
x_unit, 1.484358, 1.525122,
x_unit, 1.491446, 1.527539,
x_unit, 1.498454, 1.525928,
x_unit, 1.505324, 1.525122,
x_unit, 1.512960, 1.529150,
x_unit, 1.519955, 1.524316,
x_unit, 1.526925, 1.527539,
x_unit, 1.533856, 1.527539,
x_unit, 1.540888, 1.529150,
x_unit, 1.547847, 1.529150,
x_unit, 1.554822, 1.527539,
x_unit, 1.561862, 1.529150,
x_unit, 1.568901, 1.527539,
x_unit, 1.575857, 1.529956,
x_unit, 1.582774, 1.537207,
x_unit, 1.589769, 1.535596,
x_unit, 1.596867, 1.535596,
x_unit, 1.603672, 1.531567,
x_unit, 1.610479, 1.533984,
x_unit, 1.617956, 1.531567,
x_unit, 1.625000, 1.535596,
x_unit, 1.631964, 1.532373,
x_unit, 1.639094, 1.532373,
x_unit, 1.646093, 1.527539,
x_unit, 1.653061, 1.529956,
x_unit, 1.660046, 1.533984,
x_unit, 1.667100, 1.535596,
x_unit, 1.674125, 1.533179,
x_unit, 1.681085, 1.533179,
x_unit, 1.688085, 1.532373,
x_unit, 1.695012, 1.529956,
x_unit, 1.702015, 1.536401,
x_unit, 1.708858, 1.533179,
x_unit, 1.715762, 1.533179,
x_unit, 1.722544, 1.531567,
x_unit, 1.730001, 1.525928,
x_unit, 1.737095, 1.533179,
x_unit, 1.744001, 1.535596,
x_unit, 1.750907, 1.533179,
x_unit, 1.757843, 1.535596,
x_unit, 1.764901, 1.537207,
x_unit, 1.771916, 1.535596,
x_unit, 1.778852, 1.536401,
x_unit, 1.785821, 1.533984,
x_unit, 1.792836, 1.533179,
x_unit, 1.799852, 1.536401,
x_unit, 1.806639, 1.533179,
x_unit, 1.813525, 1.533179,
x_unit, 1.820323, 1.529956,
x_unit, 1.827113, 1.535596,
x_unit, 1.833874, 1.536401,
x_unit, 1.841423, 1.533179,
x_unit, 1.848373, 1.537207,
x_unit, 1.855318, 1.536401,
x_unit, 1.862338, 1.533984,
x_unit, 1.869397, 1.533179,
x_unit, 1.876370, 1.532373,
x_unit, 1.883304, 1.532373,
x_unit, 1.890328, 1.532373,
x_unit, 1.897386, 1.528345,
x_unit, 1.904218, 1.537207,
x_unit, 1.910968, 1.528345,
x_unit, 1.917871, 1.525928,
x_unit, 1.924743, 1.527539,
x_unit, 1.931544, 1.527539,
x_unit, 1.938439, 1.528345,
x_unit, 1.945242, 1.527539,
x_unit, 1.952735, 1.525928,
x_unit, 1.959673, 1.525122,
x_unit, 1.966684, 1.527539,
x_unit, 1.973680, 1.527539,
x_unit, 1.980676, 1.521899,
x_unit, 1.987769, 1.528345,
x_unit, 1.994684, 1.529150,
x_unit, 2.001645, 1.527539,
x_unit, 2.008488, 1.527539,
x_unit, 2.015431, 1.528345,
x_unit, 2.022271, 1.528345,
x_unit, 2.029104, 1.527539,
x_unit, 2.035878, 1.531567,
x_unit, 2.042711, 1.520288,
x_unit, 2.049543, 1.529956,
x_unit, 2.056997, 1.529956,
x_unit, 2.064091, 1.523511,
x_unit, 2.071149, 1.525122,
x_unit, 2.078112, 1.528345,
x_unit, 2.085078, 1.525928,
x_unit, 2.092121, 1.528345,
x_unit, 2.099119, 1.524316,
x_unit, 2.105967, 1.528345,
x_unit, 2.112865, 1.525928,
x_unit, 2.119751, 1.527539,
