=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.12.14 18:20:05 =~=~=~=~=~=~=~=~=~=~=~=
******************************************************C******x...temp init complete
9000,cmd: Cx9000
 Number of samples           0 ->          0,      uintl (  Cx)
 Number of samples           0 ->       9000,      uintl (  Cx)
unit_x, time, Von,
x_unit, 0.000000, 1.532373,
x_unit, 0.006929, 1.535596,
x_unit, 0.013738, 1.533984,
x_unit, 0.021178, 1.529150,
x_unit, 0.028235, 1.521899,
x_unit, 0.035259, 1.528345,
x_unit, 0.042396, 1.527539,
x_unit, 0.049415, 1.525928,
x_unit, 0.056383, 1.528345,
x_unit, 0.063344, 1.529150,
x_unit, 0.070281, 1.529956,
x_unit, 0.077291, 1.527539,
x_unit, 0.084260, 1.529956,
x_unit, 0.091083, 1.529150,
x_unit, 0.097846, 1.525122,
x_unit, 0.104727, 1.527539,
x_unit, 0.111599, 1.529150,
x_unit, 0.118405, 1.527539,
x_unit, 0.125252, 1.529956,
x_unit, 0.132805, 1.527539,
x_unit, 0.139795, 1.524316,
x_unit, 0.146736, 1.529150,
x_unit, 0.153792, 1.529956,
x_unit, 0.160759, 1.528345,
x_unit, 0.167718, 1.525122,
x_unit, 0.174727, 1.529956,
x_unit, 0.181735, 1.529956,
x_unit, 0.188754, 1.531567,
x_unit, 0.195712, 1.537207,
x_unit, 0.202768, 1.529150,
x_unit, 0.209727, 1.525928,
x_unit, 0.216705, 1.528345,
x_unit, 0.223697, 1.528345,
x_unit, 0.230917, 1.525928,
x_unit, 0.237911, 1.531567,
x_unit, 0.245440, 1.529150,
x_unit, 0.252511, 1.527539,
x_unit, 0.259452, 1.529150,
x_unit, 0.266448, 1.527539,
x_unit, 0.273396, 1.529956,
x_unit, 0.280443, 1.528345,
x_unit, 0.287531, 1.521094,
x_unit, 0.294508, 1.527539,
x_unit, 0.301544, 1.529150,
x_unit, 0.308476, 1.527539,
x_unit, 0.315424, 1.521094,
x_unit, 0.322387, 1.528345,
x_unit, 0.329448, 1.529150,
x_unit, 0.336462, 1.524316,
x_unit, 0.343425, 1.535596,
x_unit, 0.350983, 1.537207,
x_unit, 0.357963, 1.538013,
x_unit, 0.364941, 1.531567,
x_unit, 0.371931, 1.529150,
x_unit, 0.378994, 1.535596,
x_unit, 0.386073, 1.529956,
x_unit, 0.393072, 1.533179,
x_unit, 0.400067, 1.537207,
x_unit, 0.406998, 1.533179,
x_unit, 0.413965, 1.533984,
x_unit, 0.420929, 1.533179,
x_unit, 0.427971, 1.531567,
x_unit, 0.435035, 1.536401,
x_unit, 0.441981, 1.533179,
x_unit, 0.448933, 1.529956,
x_unit, 0.455994, 1.533179,
x_unit, 0.462234, 1.533179,
x_unit, 0.469231, 1.533984,
x_unit, 0.476326, 1.525928,
x_unit, 0.483399, 1.533179,
x_unit, 0.490401, 1.532373,
x_unit, 0.497316, 1.531567,
x_unit, 0.504357, 1.532373,
x_unit, 0.511298, 1.533984,
x_unit, 0.518222, 1.533984,
x_unit, 0.525305, 1.536401,
x_unit, 0.532331, 1.536401,
x_unit, 0.539328, 1.531567,
x_unit, 0.546264, 1.533984,
x_unit, 0.553273, 1.537207,
x_unit, 0.560190, 1.532373,
x_unit, 0.567160, 1.536401,
x_unit, 0.574791, 1.533984,
x_unit, 0.581537, 1.529150,
x_unit, 0.588652, 1.535596,
x_unit, 0.595633, 1.533179,
x_unit, 0.602716, 1.535596,
x_unit, 0.609707, 1.532373,
x_unit, 0.616683, 1.536401,
x_unit, 0.623672, 1.533179,
x_unit, 0.630786, 1.529956,
x_unit, 0.637744, 1.537207,
x_unit, 0.644708, 1.531567,
x_unit, 0.651787, 1.533179,
x_unit, 0.658757, 1.533984,
x_unit, 0.665723, 1.529150,
x_unit, 0.672706, 1.527539,
x_unit, 0.680365, 1.532373,
x_unit, 0.687452, 1.525122,
x_unit, 0.694409, 1.529956,
x_unit, 0.701424, 1.529150,
x_unit, 0.708397, 1.521094,
x_unit, 0.715360, 1.527539,
x_unit, 0.722317, 1.529150,
x_unit, 0.729405, 1.520288,
x_unit, 0.736458, 1.527539,
x_unit, 0.743420, 1.524316,
x_unit, 0.750454, 1.527539,
x_unit, 0.757424, 1.531567,
x_unit, 0.764375, 1.533179,
x_unit, 0.771300, 1.529150,
x_unit, 0.778314, 1.525928,
x_unit, 0.785376, 1.528345,
x_unit, 0.792798, 1.524316,
x_unit, 0.799726, 1.528345,
x_unit, 0.806502, 1.529150,
x_unit, 0.813278, 1.528345,
x_unit, 0.820054, 1.527539,
x_unit, 0.827082, 1.531567,
x_unit, 0.834157, 1.529956,
x_unit, 0.841088, 1.529150,
x_unit, 0.848011, 1.521899,
x_unit, 0.855083, 1.525122,
x_unit, 0.862075, 1.527539,
x_unit, 0.868975, 1.527539,
x_unit, 0.875981, 1.527539,
x_unit, 0.883015, 1.527539,
x_unit, 0.889852, 1.529150,
x_unit, 0.896635, 1.527539,
x_unit, 0.904173, 1.532373,
x_unit, 0.911160, 1.525928,
x_unit, 0.918086, 1.528345,
x_unit, 0.923862, 1.529956,
x_unit, 0.931008, 1.528345,
x_unit, 0.937965, 1.528345,
x_unit, 0.944934, 1.529956,
x_unit, 0.952005, 1.527539,
x_unit, 0.958969, 1.525928,
x_unit, 0.965935, 1.527539,
x_unit, 0.972939, 1.529150,
x_unit, 0.979976, 1.533984,
x_unit, 0.987049, 1.533179,
x_unit, 0.993849, 1.533179,
x_unit, 1.000729, 1.532373,
x_unit, 1.007528, 1.537207,
x_unit, 1.015001, 1.535596,
x_unit, 1.021973, 1.535596,
x_unit, 1.028998, 1.535596,
x_unit, 1.036048, 1.537207,
x_unit, 1.042987, 1.529956,
x_unit, 1.050093, 1.532373,
x_unit, 1.057055, 1.536401,
x_unit, 1.063994, 1.531567,
x_unit, 1.070943, 1.527539,
x_unit, 1.077988, 1.532373,
x_unit, 1.085003, 1.532373,
x_unit, 1.091854, 1.531567,
x_unit, 1.098671, 1.533179,
x_unit, 1.105572, 1.535596,
x_unit, 1.112450, 1.535596,
x_unit, 1.119284, 1.535596,
x_unit, 1.126655, 1.533179,
x_unit, 1.133717, 1.536401,
x_unit, 1.140706, 1.537207,
x_unit, 1.147635, 1.532373,
x_unit, 1.154674, 1.531567,
x_unit, 1.161634, 1.533984,
x_unit, 1.168555, 1.533984,
x_unit, 1.175643, 1.533984,
x_unit, 1.182715, 1.531567,
x_unit, 1.189547, 1.531567,
x_unit, 1.196377, 1.537207,
x_unit, 1.203291, 1.533984,
x_unit, 1.210070, 1.532373,
x_unit, 1.216853, 1.533179,
x_unit, 1.223709, 1.533984,
x_unit, 1.231421, 1.533984,
x_unit, 1.238418, 1.535596,
x_unit, 1.245404, 1.536401,
x_unit, 1.252465, 1.533179,
x_unit, 1.259430, 1.529150,
x_unit, 1.266403, 1.533179,
x_unit, 1.273389, 1.533179,
x_unit, 1.280425, 1.533179,
x_unit, 1.287497, 1.533179,
x_unit, 1.294460, 1.533179,
x_unit, 1.301485, 1.531567,
x_unit, 1.308492, 1.527539,
x_unit, 1.315460, 1.531567,
x_unit, 1.321905, 1.524316,
x_unit, 1.329079, 1.527539,
x_unit, 1.336086, 1.525122,
x_unit, 1.344000, 1.529150,
x_unit, 1.351095, 1.529956,
x_unit, 1.358050, 1.529150,
x_unit, 1.364995, 1.529150,
x_unit, 1.371980, 1.528345,
