x_unit, 1.106925, 1.533179,
x_unit, 1.113865, 1.529150,
x_unit, 1.120876, 1.535596,
x_unit, 1.127865, 1.537207,
x_unit, 1.134920, 1.532373,
x_unit, 1.141916, 1.533179,
x_unit, 1.148931, 1.529150,
x_unit, 1.155859, 1.532373,
x_unit, 1.162780, 1.535596,
x_unit, 1.169707, 1.529956,
x_unit, 1.176776, 1.533984,
x_unit, 1.183861, 1.529956,
x_unit, 1.191608, 1.537207,
x_unit, 1.198864, 1.533179,
x_unit, 1.205958, 1.531567,
x_unit, 1.212982, 1.537207,
x_unit, 1.220052, 1.533179,
x_unit, 1.227099, 1.537207,
x_unit, 1.234349, 1.533179,
x_unit, 1.241464, 1.533984,
x_unit, 1.248642, 1.533984,
x_unit, 1.255700, 1.535596,
x_unit, 1.262730, 1.535596,
x_unit, 1.269784, 1.531567,
x_unit, 1.276979, 1.535596,
x_unit, 1.284095, 1.533179,
x_unit, 1.292336, 1.533179,
x_unit, 1.299425, 1.533984,
x_unit, 1.306346, 1.533984,
x_unit, 1.313239, 1.537207,
x_unit, 1.320090, 1.533984,
x_unit, 1.326994, 1.535596,
x_unit, 1.333996, 1.535596,
x_unit, 1.340898, 1.537207,
x_unit, 1.347906, 1.529956,
x_unit, 1.354844, 1.532373,
x_unit, 1.361738, 1.528345,
x_unit, 1.368675, 1.533984,
x_unit, 1.375666, 1.536401,
x_unit, 1.382634, 1.525122,
x_unit, 1.389510, 1.533984,
x_unit, 1.396456, 1.535596,
x_unit, 1.403330, 1.537207,
x_unit, 1.410232, 1.536401,
x_unit, 1.417126, 1.532373,
x_unit, 1.424146, 1.529150,
x_unit, 1.431169, 1.521899,
x_unit, 1.438091, 1.529150,
x_unit, 1.444955, 1.527539,
x_unit, 1.451910, 1.523511,
x_unit, 1.458827, 1.527539,
x_unit, 1.465731, 1.525122,
x_unit, 1.472760, 1.525122,
x_unit, 1.479775, 1.525122,
x_unit, 1.486655, 1.528345,
x_unit, 1.493575, 1.529150,
x_unit, 1.500549, 1.528345,
x_unit, 1.507462, 1.527539,
x_unit, 1.514357, 1.528345,
x_unit, 1.521306, 1.527539,
x_unit, 1.528200, 1.521899,
x_unit, 1.535193, 1.524316,
x_unit, 1.542094, 1.524316,
x_unit, 1.549020, 1.525122,
x_unit, 1.555914, 1.525122,
x_unit, 1.562807, 1.525122,
x_unit, 1.569676, 1.529150,
x_unit, 1.576687, 1.527539,
x_unit, 1.583668, 1.529150,
x_unit, 1.591028, 1.529150,
x_unit, 1.598027, 1.527539,
x_unit, 1.604909, 1.528345,
x_unit, 1.611787, 1.528345,
x_unit, 1.618704, 1.527539,
x_unit, 1.625755, 1.529956,
x_unit, 1.632764, 1.528345,
x_unit, 1.639684, 1.525928,
x_unit, 1.646679, 1.528345,
x_unit, 1.653612, 1.525928,
x_unit, 1.660065, 1.524316,
x_unit, 1.666966, 1.527539,
x_unit, 1.673957, 1.529150,
x_unit, 1.680965, 1.529150,
x_unit, 1.687884, 1.528345,
x_unit, 1.694799, 1.529150,
x_unit, 1.701811, 1.527539,
x_unit, 1.708714, 1.527539,
x_unit, 1.715641, 1.521899,
x_unit, 1.722633, 1.529956,
x_unit, 1.729553, 1.527539,
x_unit, 1.736545, 1.529956,
x_unit, 1.743467, 1.529956,
x_unit, 1.750518, 1.533984,
x_unit, 1.757418, 1.535596,
x_unit, 1.764327, 1.532373,
x_unit, 1.771345, 1.537207,
x_unit, 1.778457, 1.533179,
x_unit, 1.785372, 1.532373,
x_unit, 1.794144, 1.532373,
x_unit, 1.801203, 1.537207,
x_unit, 1.808097, 1.536401,
x_unit, 1.814998, 1.536401,
x_unit, 1.821949, 1.533179,
x_unit, 1.828861, 1.533984,
x_unit, 1.835908, 1.536401,
x_unit, 1.842855, 1.529956,
x_unit, 1.849850, 1.532373,
x_unit, 1.856747, 1.537207,
x_unit, 1.863657, 1.533984,
x_unit, 1.870552, 1.535596,
